Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_EIA-7343-43_Kemet-X,2,470uF,C7234
"C2, C4, C9",0603,3,100nF,C14663
"C5, C6",0603,2,C,
C7,0603,1,1uF,C559769
C8,0603,1,10uF,C109457
D1,D_SMA,1,SMAJ8.5A,C135018
J1,PinHeader_1x03_P2.54mm_Vertical,1,ESC_1_PWM,
J10,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,ToF_OF_SH,C160390
J11,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Hall_1_PH,C131339
J12,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Hall_2_PH,C131339
J13,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Hall_3_PH,C131339
J14,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Hall_4_PH,C131339
J2,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,5V_In_XH,C158012
J3,PinHeader_1x03_P2.54mm_Vertical,1,ESC_2_PWM,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Servo_1_PWM,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Servo_2_PWM,
J6,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,7V4_In,C428721
J7,SMA_Amphenol_132203-12_Horizontal,1,Ebyte,C6962402
J8,PinHeader_1x04_P2.54mm_Vertical,1,LC29H,
J9,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,Batt_Mon_GH,C161692
"R1, R2",0603,2,100Ω,C122970
"R10, R11, R3, R5, R6, R7, R8, R9",0603,8,10kΩ,C5362358
"R12, R13",0603,2,2.2kΩ,C4190
R4,0603,1,0Ω,C17168
U1,COMM-SMD_E28-2G4T20SX,1,E28-2G4T20SX,C42464206
U2,MODULE_4754,1,4754,
U3,SOT-23-5,1,AP2112K-3.3,C51118
U4,MODULE_4494,1,4494,
U5,Teensy41,1,Teensy4.1,
